1	2
1	3
1	4
1	5
1	6
1	7
2	4
2	8
2	9
2	3
2	10
2	7
2	11
2	12
4	13
4	8
4	5
4	6
4	7
8	13
8	10
8	6
8	11
8	9
8	12
9	10
9	11
9	12
3	14
3	15
3	16
3	17
3	18
3	19
14	15
14	20
14	16
14	17
14	18
14	19
15	19
15	16
15	17
15	18
15	20
16	21
16	19
16	20
16	22
17	23
17	24
17	25
17	26
17	18
18	23
21	27
21	28
21	24
21	22
21	19
21	20
27	28
27	23
27	24
27	29
27	30
28	23
28	30
28	24
28	29
10	6
10	12
10	11
6	5
6	7
24	23
24	26
24	31
24	25
24	32
22	19
22	33
22	20
22	34
22	29
22	32
19	20
20	34
20	29
20	32
35	25
35	34
35	5
35	29
35	36
35	37
35	33
35	38
35	39
35	40
23	26
23	30
23	25
23	29
30	29
26	25
26	32
26	31
31	25
31	32
25	32
13	41
13	42
13	34
13	43
13	44
41	34
41	43
41	42
41	44
42	34
42	43
42	44
33	38
33	39
33	40
33	37
33	36
34	5
34	29
34	32
34	43
34	44
5	29
5	7
29	32
32	7
12	11
45	46
45	47
45	48
45	49
46	47
46	48
46	49
47	48
47	49
48	49
43	44
50	51
50	52
50	53
50	54
50	55
51	52
51	53
51	54
51	55
52	53
52	54
52	55
53	54
53	55
54	55
36	38
36	39
36	40
36	37
37	38
37	39
37	40
38	39
38	40
39	40
