0	0
1	1
2	4
3	1
4	3
5	7
6	0
7	3
8	5
9	0
10	6
11	5
12	5
13	7
14	3
15	0
16	8
17	4
18	9
19	10
20	10
21	7
22	4
23	4
24	1
25	4
26	5
27	7
28	4
29	6
30	10
31	10
32	6
33	7
34	10
35	7
36	11
37	8
38	8
39	5
40	9
41	6
42	3
43	9
44	10
45	6
46	8
47	9
48	9
49	10
50	10
51	0
52	9
53	0
54	8
55	0
56	0
57	3
58	4
59	6
60	9
61	4
62	1
63	9
64	3
65	10
66	3
67	0
68	8
69	3
70	3
71	5
72	1
73	4
74	4
75	3
76	0
77	11
78	10
79	1
80	1
81	2
82	8
83	5
84	3
85	0
86	5
87	5
88	10
89	11
90	5
91	8
92	5
93	8
94	10
95	5
96	4
97	5
98	4
99	5
100	3
101	0
102	10
103	9
104	10
105	8
106	8
107	0
108	4
109	5
110	9
111	0
112	7
113	11
114	1
115	0
116	11
117	0
118	2
119	11
120	3
121	1
122	1
123	3
124	9
125	11
126	7
127	2
128	11
129	1
130	4
131	3
132	11
133	0
134	11
135	0
136	7
137	4
138	10
139	11
140	9
141	9
142	6
143	10
144	6
145	2
146	3
147	11
148	1
149	11
150	6
151	7
152	9
153	7
154	7
155	4
156	10
157	7
158	4
159	1
160	11
161	2
162	10
163	6
164	8
165	4
166	4
167	1
168	1
169	10
170	1
171	9
172	11
173	7
174	2
175	0
176	4
177	11
178	8
179	2
180	0
181	1
182	10
183	3
184	3
185	4
186	8
187	8
188	6
189	0
190	7
191	1
192	8
193	3
194	7
195	10
196	6
197	1
198	11
199	3
200	1
201	2
202	7
203	10
204	11
205	5
206	5
207	2
208	2
209	4
210	3
211	8
212	6
213	1
214	5
215	11
216	6
217	1
218	4
219	5
220	8
221	4
222	1
223	10
224	8
225	11
226	11
227	1
228	3
229	10
230	0
231	10
232	4
233	4
234	11
235	10
236	9
237	11
238	3
239	1
240	7
241	0
242	4
243	0
244	4
245	10
246	11
247	5
248	0
249	1
250	6
251	0
252	5
253	8
254	6
255	0
256	9
257	7
258	0
259	7
260	10
261	5
262	10
263	11
264	6
265	1
266	2
267	11
268	11
269	11
270	10
271	10
272	7
273	4
274	11
275	8
276	10
277	11
278	1
279	11
280	10
281	9
282	4
283	7
284	11
285	3
286	6
287	1
288	7
289	11
290	1
291	8
292	1
293	6
294	11
295	10
296	8
297	11
298	7
299	8
